run_id,task_success,constraint_satisfaction,failure_count,critical_failure_count,cascading_failure_count,recovery_success_rate,tool_efficiency,trajectory_efficiency,grounding_score,final_answer_score,reliability_score
run_000001,True,1.0,1,0,0,1.0,0.357,0.875,1.0,1.0,0.936
run_000002,True,1.0,1,0,0,1.0,0.364,1.0,0.8,1.0,0.936
run_000003,True,1.0,0,0,0,,0.429,1.0,1.0,1.0,0.943
run_000004,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000005,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000006,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000007,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000008,False,0.0,4,1,1,0.5,0.36,0.519,0.25,0.0,0.136
run_000009,True,0.5,3,0,1,0.6666666666666666,0.364,0.583,0.8,0.5,0.87
run_000010,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000011,True,1.0,3,0,1,1.0,0.333,0.609,0.8,1.0,0.933
run_000012,False,0.0,1,1,0,0.0,0.5,1.0,0.6,0.0,0.05
run_000013,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000014,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000015,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000016,False,0.0,2,1,1,0.0,0.353,0.737,0.333,0.0,0.035
run_000017,True,1.0,0,0,0,,0.385,0.933,0.8,1.0,0.938
run_000018,True,0.5,4,0,1,0.75,0.37,0.467,0.4,0.5,0.887
run_000019,False,0.0,4,1,0,0.75,0.333,0.609,0.0,0.0,0.183
run_000020,True,0.5,4,0,0,0.75,0.368,0.667,0.75,0.5,0.887
run_000021,True,0.5,2,0,0,0.5,0.333,0.609,0.75,0.5,0.833
run_000022,False,0.0,1,1,0,0.0,0.333,1.0,0.75,0.0,0.033
run_000023,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000024,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000025,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000026,True,1.0,0,0,0,,0.333,1.0,0.5,1.0,0.933
run_000027,True,1.0,2,0,0,1.0,0.375,0.727,0.5,1.0,0.937
run_000028,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000029,True,0.5,1,0,0,0.0,0.667,1.0,0.5,0.5,0.767
run_000030,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000031,True,1.0,3,0,0,1.0,0.353,0.737,1.0,1.0,0.935
run_000032,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000033,True,1.0,0,0,0,,0.333,1.0,0.333,1.0,0.933
